seed: 4, epochs: 300, algorithm: FedAvg, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 20, batch_size: 4096, learning_rate: 0.01, local_epochs: 2, model: lenet, dataset: MNIST, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.1, cache_partition: False, gpu_idx: [1], num_workers: 16, record_time: False, num_adv: 4, attack: IPM, defense: Mean, attack_params: {'attack_model': 'all2one', 'scaling_factor': 100, 'trigger_factor': [8, 2, 0], 'poisoning_ratio': 0.32, 'source_label': 2, 'target_label': 7, 'attack_strategy': 'continuous'}, defense_params: None, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedAvg/MNIST_lenet/non-iid/MNIST_lenet_non-iid_alpha0.1_IPM_Mean_300_20_0.01_FedAvg.txt

Started on Wed Jan 28 17:32:47 2026
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.1
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.0784	Train loss: 0.0038	Test Acc: 0.0978	Test loss: 51.4513
Epoch 1  		Train Acc: 0.3298	Train loss: 1631027239.2624	Test Acc: 0.1041	Test loss: nan
Epoch 2  		Train Acc: 0.0891	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 3  		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 4  		Train Acc: 0.0731	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 5  		Train Acc: 0.0719	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 6  		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 7  		Train Acc: 0.0725	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 8  		Train Acc: 0.0721	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 9  		Train Acc: 0.0723	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 10 		Train Acc: 0.0735	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 11 		Train Acc: 0.0718	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 12 		Train Acc: 0.0740	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 13 		Train Acc: 0.0721	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 14 		Train Acc: 0.0722	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 15 		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 16 		Train Acc: 0.0719	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 17 		Train Acc: 0.0740	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 18 		Train Acc: 0.0739	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 19 		Train Acc: 0.0728	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 20 		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 21 		Train Acc: 0.0731	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 22 		Train Acc: 0.0715	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 23 		Train Acc: 0.0736	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 24 		Train Acc: 0.0728	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 25 		Train Acc: 0.0732	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 26 		Train Acc: 0.0749	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 27 		Train Acc: 0.0739	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 28 		Train Acc: 0.0719	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 29 		Train Acc: 0.0734	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 30 		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 31 		Train Acc: 0.0728	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 32 		Train Acc: 0.0735	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 33 		Train Acc: 0.0722	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 34 		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 35 		Train Acc: 0.0718	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 36 		Train Acc: 0.0711	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 37 		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 38 		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 39 		Train Acc: 0.0733	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 40 		Train Acc: 0.0720	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 41 		Train Acc: 0.0722	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 42 		Train Acc: 0.0718	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 43 		Train Acc: 0.0725	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 44 		Train Acc: 0.0732	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 45 		Train Acc: 0.0731	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 46 		Train Acc: 0.0733	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 47 		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
